### GRB	ra	dec	Error radius	Trigger	T90	eT90	T90 start	flux64	err flux64	T50	eT50	T50 start
GRB171008080	232.59	24.02	12.88	58034.079616833	1.472	1.537	-1.024	7.0458	2.3352	0.384	0.64	-0.128
GRB171011810	177.04	26.93	15.96	58037.810045671	0.48	0.935	-0.448	4.7832	0.6365	0.064	0.358	-0.128
GRB171025213	232.66	42.35	18.56	58051.213126691	6.4	3.482	-2.304	4.1623	1.0065	2.56	0.923	-1.536
GRB171030729	74.09	-19.55	23.39	58056.72899447	0.096	1.016	-0.064	11.6396	2.2344	0.016	0.072	-0.032
GRB171108656	109.952	29.091	4.9	58065.656093797	0.032	0.023	-0.016	686.542	166.489	0.032	0.023	-0.016
GRB171126235	237.84	46.76	3.29	58083.235228109	1.472	0.143	0.0	97.2131	6.0745	0.448	0.091	0.128
GRB171207055	314.39	51.67	9.54	58094.054658007	0.176	0.072	-0.064	5.3358	1.085	0.096	0.068	-0.032
GRB171208733	125.49	9.05	7.55	58095.733214067	2.624	0.81	-0.896	10.1169	1.4122	0.832	0.272	-0.192
GRB171219279	269.62	-18.03	8.68	58106.279364339	1.152	1.19	-0.896	4.6159	0.9404	0.512	0.202	-0.512
GRB171230119	325.29	-12.35	14.77	58117.119052562	1.28	0.528	-1.216	6.9667	1.0671	0.128	0.143	-0.064
GRB180103090	25.4	28.01	6.97	58121.089723587	0.016	0.036	-0.016	4.9041	2.3876	0.016	0.045	-0.016
GRB180110608	126.34	51.27	30.08	58128.608324288	1.536	1.619	-1.024	3.2267	1.1878	0.768	0.572	-0.768
GRB180123820	124.86	30.0	16.83	58141.820020528	0.32	0.932	-0.128	2.9524	0.9244	0.256	0.231	-0.128
GRB180128881	323.18	-13.55	9.22	58146.881475191	1.792	0.923	-0.512	3.0553	0.774	0.768	0.81	-0.256
GRB180130744	136.83	52.69	68.08	58148.744060078	0.256	0.916	-0.192	6.2686	2.3431	0.128	0.202	-0.128
GRB180201780	75.82	52.5	9.21	58150.780387696	0.64	0.547	-0.576	6.7468	1.313	0.128	0.181	-0.192
GRB180204109	330.134	30.8381	0.001	58153.108529238	1.152	0.091	-0.064	19.6614	1.5738	0.896	0.091	0.064
GRB180206203	230.74	20.39	7.63	58155.202812522	0.448	0.181	-0.32	6.8325	1.1208	0.128	0.143	-0.064
GRB180225417	180.98	-9.49	7.47	58174.417293697	0.896	1.134	-0.448	5.4213	0.881	0.576	0.326	-0.384
GRB180227211	98.61	-5.44	6.88	58176.211302784	0.288	1.438	-0.224	8.0981	1.3595	0.064	0.091	-0.064
GRB180404848	101.66	12.56	8.54	58212.847587482	0.544	0.842	-0.48	19.4061	2.3236	0.064	0.143	-0.128
GRB180418281	170.121	24.9328	0.001	58226.28062826	2.56	0.202	-0.064	7.5584	1.1389	0.512	0.091	0.064
GRB180511364	250.42	-8.18	15.07	58249.363608631	0.128	1.207	-0.032	9.2077	0.9902	0.032	0.045	-0.016
GRB180511437	257.78	9.07	10.16	58249.43741442	1.984	0.968	-0.256	7.6375	1.2015	0.768	0.181	0.128
GRB180523782	168.38	49.45	12.94	58261.782269756	1.984	1.35	-0.064	4.5709	0.8723	0.768	0.487	0.0
GRB180524920	83.75	30.11	11.92	58262.920166338	4.096	1.305	-1.792	2.8703	0.7876	1.28	0.362	-1.024
GRB180525151	103.29	19.93	14.9	58263.151378266	0.544	0.689	-0.064	8.9971	1.066	0.096	0.115	-0.032
GRB180617872	106.89	24.87	8.24	58286.871799346	1.92	0.779	-0.96	9.2669	1.3305	0.384	0.143	-0.128
GRB180626392	285.06	44.82	8.21	58295.391558426	0.96	0.405	-0.64	10.0016	1.6106	0.256	0.264	-0.064
GRB180715087	331.19	39.17	12.64	58314.086973099	5.12	3.083	-1.024	3.053	0.9598	1.792	1.145	-0.512
GRB180715755	235.069	-0.925	0.05	58314.754919691	0.704	0.286	-0.192	8.4063	1.2844	0.384	0.091	0.0
GRB180718082	336.019	2.79	0.05	58317.081766214	0.08	0.182	-0.048	9.0129	0.9926	0.032	0.045	-0.032
GRB180721642	235.15	12.92	12.81	58320.642452938	0.064	0.072	-0.032	5.2222	1.0762	0.032	0.091	-0.032
GRB180728882	222.078	15.942	2.88	58327.881931861	0.832	0.58	-0.064	16.3266	1.6357	0.128	0.091	0.128
GRB180730018	98.03	44.54	8.29	58329.017828046	0.256	0.707	-0.256	9.451	1.8408	0.064	0.091	-0.064
GRB180801276	240.92	-11.43	8.83	58331.275735119	0.32	0.551	-0.064	6.8285	0.7474	0.256	0.181	-0.064
GRB180803590	71.63	57.65	17.37	58333.590158957	0.384	2.382	-0.384	4.4711	0.8945	0.128	0.286	-0.256
GRB180804909	178.76	29.9	14.5	58334.909053011	4.608	3.083	-4.096	3.5356	1.1791	1.28	0.724	-2.048
GRB180818179	179.71	35.86	12.54	58348.179132288	4.416	1.319	-0.576	6.3003	1.2128	2.752	0.962	-0.064
GRB180906988	318.44	-5.47	9.63	58367.987895415	3.328	0.362	-0.256	8.3333	1.3429	2.304	0.572	0.256
GRB180913783	350.85	44.37	6.73	58374.783420604	0.768	0.143	-0.064	7.2412	0.967	0.512	0.143	0.128
GRB180917477	160.46	-3.46	14.48	58378.476872735	4.864	1.81	-3.072	5.9742	1.222	1.792	0.572	-2.048
GRB180927993	236.05	-1.72	5.7	58388.992594828	4.608	3.208	-1.024	16.0947	26.5301	1.536	0.81	-0.256
